race_id,driver,team,grid_pos,q1_secs,q2_secs,q3_secs
2026_R04,NOR,McLaren,4.0,89.183,88.92,88.183
2026_R04,RUS,Mercedes,5.0,89.492,88.477,88.197
2026_R04,HAM,Ferrari,6.0,89.483,88.477,88.319
2026_R04,PIA,McLaren,7.0,89.92,88.332,88.5
2026_R04,COL,Alpine,8.0,89.584,88.975,88.762
2026_R04,GAS,Alpine,9.0,89.914,89.07,88.81
2026_R04,HUL,Audi,10.0,89.645,89.439,
2026_R04,LAW,Racing Bulls,11.0,89.595,89.499,
2026_R04,BEA,Haas F1 Team,12.0,89.34,89.567,
2026_R04,SAI,Williams,13.0,89.54,89.568,
2026_R04,OCO,Haas F1 Team,14.0,89.838,89.772,
2026_R04,ALB,Williams,15.0,89.72,89.946,
2026_R04,LIN,Racing Bulls,16.0,90.133,,
2026_R04,ALO,Aston Martin,17.0,91.098,,
2026_R04,STR,Aston Martin,18.0,91.164,,
2026_R04,BOT,Cadillac,19.0,91.629,,
2026_R04,PER,Cadillac,20.0,91.967,,
2026_R04,BOR,Audi,21.0,93.737,,
2026_R04,HAD,Red Bull Racing,22.0,,88.941,88.789
2026_R05,RUS,Mercedes,1.0,73.953,73.079,72.578
2026_R05,ANT,Mercedes,2.0,73.38,73.076,72.646
2026_R05,NOR,McLaren,3.0,73.503,73.049,72.729
2026_R05,PIA,McLaren,4.0,73.559,73.285,72.781
2026_R05,HAM,Ferrari,5.0,73.767,73.041,72.868
2026_R05,VER,Red Bull Racing,6.0,74.067,73.479,72.907
2026_R05,HAD,Red Bull Racing,7.0,73.654,72.975,72.935
2026_R05,LEC,Ferrari,8.0,73.825,73.496,72.976
2026_R05,LIN,Racing Bulls,9.0,73.895,73.548,73.28
2026_R05,COL,Alpine,10.0,74.466,73.857,73.697
2026_R05,HUL,Audi,11.0,74.562,73.886,
2026_R05,LAW,Racing Bulls,12.0,74.346,73.897,
2026_R05,BOR,Audi,13.0,74.775,74.071,
2026_R05,GAS,Alpine,14.0,74.698,74.187,
2026_R05,SAI,Williams,15.0,74.276,74.273,
2026_R05,BEA,Haas F1 Team,16.0,74.449,74.416,
2026_R05,OCO,Haas F1 Team,17.0,74.845,,
2026_R05,ALB,Williams,18.0,74.851,,
2026_R05,ALO,Aston Martin,19.0,75.196,,
2026_R05,PER,Cadillac,20.0,75.429,,
2026_R05,STR,Aston Martin,21.0,76.195,,
2026_R05,BOT,Cadillac,22.0,76.272,,
2026_R06,ANT,Mercedes,1.0,73.599,72.704,72.051
2026_R06,VER,Red Bull Racing,2.0,73.49,72.499,72.094
2026_R06,HAM,Ferrari,3.0,73.777,72.934,72.279
2026_R06,LEC,Ferrari,4.0,73.293,72.774,72.351
2026_R06,HAD,Red Bull Racing,5.0,74.408,72.722,72.434
2026_R06,RUS,Mercedes,6.0,74.214,73.238,72.445
2026_R06,PIA,McLaren,7.0,74.159,72.983,72.624
2026_R06,NOR,McLaren,8.0,73.63,72.919,72.765
2026_R06,GAS,Alpine,9.0,74.469,73.762,73.226
2026_R06,LAW,Racing Bulls,10.0,74.498,73.471,73.412
2026_R06,ALB,Williams,11.0,74.321,73.787,
2026_R06,SAI,Williams,12.0,74.348,73.815,
2026_R06,HUL,Audi,13.0,73.923,73.902,
2026_R06,COL,Alpine,14.0,74.573,73.995,
2026_R06,LIN,Racing Bulls,15.0,74.685,74.248,
2026_R06,BOR,Audi,16.0,74.683,,
2026_R06,OCO,Haas F1 Team,17.0,74.722,,
2026_R06,PER,Cadillac,18.0,74.747,,
2026_R06,BEA,Haas F1 Team,19.0,74.814,,
2026_R06,BOT,Cadillac,20.0,75.283,,
2026_R06,ALO,Aston Martin,21.0,75.349,,
2026_R06,STR,Aston Martin,22.0,76.061,,
