race_id,driver,team,grid_pos,q1_secs,q2_secs,q3_secs
2026_R01,RUS,Mercedes,1.0,79.507,78.934,78.518
2026_R01,ANT,Mercedes,2.0,80.12,79.435,78.811
2026_R01,HAD,Red Bull Racing,3.0,80.023,79.653,79.303
2026_R01,LEC,Ferrari,4.0,80.226,79.357,79.327
2026_R01,PIA,McLaren,5.0,79.664,79.525,79.38
2026_R01,NOR,McLaren,6.0,80.01,79.882,79.475
2026_R01,HAM,Ferrari,7.0,79.811,79.921,79.478
2026_R01,LAW,Racing Bulls,8.0,80.491,80.144,79.994
2026_R01,LIN,Racing Bulls,9.0,80.409,79.971,81.247
2026_R01,BOR,Audi,10.0,80.495,80.221,
2026_R01,HUL,Audi,11.0,81.024,80.303,
2026_R01,BEA,Haas F1 Team,12.0,81.247,80.311,
2026_R01,OCO,Haas F1 Team,13.0,80.759,80.491,
2026_R01,GAS,Alpine,14.0,81.138,80.501,
2026_R01,ALB,Williams,15.0,81.051,80.941,
2026_R01,COL,Alpine,16.0,81.2,81.27,
2026_R01,ALO,Aston Martin,17.0,81.969,,
2026_R01,PER,Cadillac,18.0,82.605,,
2026_R01,BOT,Cadillac,19.0,83.244,,
2026_R01,STR,Aston Martin,,,,
2026_R01,VER,Red Bull Racing,,,,
2026_R01,SAI,Williams,,,,
2026_R02,ANT,Mercedes,1.0,93.305,92.443,92.064
2026_R02,RUS,Mercedes,2.0,93.262,92.523,92.286
2026_R02,HAM,Ferrari,3.0,93.522,92.567,92.415
2026_R02,LEC,Ferrari,4.0,93.175,92.486,92.428
2026_R02,PIA,McLaren,5.0,93.59,93.13,92.55
2026_R02,NOR,McLaren,6.0,93.535,92.91,92.608
2026_R02,GAS,Alpine,7.0,93.788,93.003,92.873
2026_R02,VER,Red Bull Racing,8.0,93.417,93.098,93.002
2026_R02,HAD,Red Bull Racing,9.0,93.632,93.352,93.121
2026_R02,BEA,Haas F1 Team,10.0,93.687,93.197,93.292
2026_R02,HUL,Audi,11.0,94.116,93.354,
2026_R02,COL,Alpine,12.0,93.634,93.357,
2026_R02,OCO,Haas F1 Team,13.0,93.974,93.538,
2026_R02,LAW,Racing Bulls,14.0,94.139,93.765,
2026_R02,LIN,Racing Bulls,15.0,93.906,93.784,
2026_R02,BOR,Audi,16.0,93.549,93.965,
2026_R02,SAI,Williams,17.0,94.317,,
2026_R02,ALB,Williams,18.0,94.772,,
2026_R02,ALO,Aston Martin,19.0,95.203,,
2026_R02,BOT,Cadillac,20.0,95.436,,
2026_R02,STR,Aston Martin,21.0,95.995,,
2026_R02,PER,Cadillac,22.0,96.906,,
2026_R03,ANT,Mercedes,1.0,90.035,89.048,88.778
2026_R03,RUS,Mercedes,2.0,89.967,89.686,89.076
2026_R03,PIA,McLaren,3.0,90.2,89.451,89.132
2026_R03,LEC,Ferrari,4.0,89.915,89.303,89.405
2026_R03,NOR,McLaren,5.0,90.401,89.795,89.409
2026_R03,HAM,Ferrari,6.0,90.309,89.589,89.567
2026_R03,GAS,Alpine,7.0,90.584,89.874,89.691
2026_R03,HAD,Red Bull Racing,8.0,90.662,90.104,89.978
2026_R03,BOR,Audi,9.0,90.359,89.99,90.274
2026_R03,LIN,Racing Bulls,10.0,90.781,90.109,90.319
2026_R03,VER,Red Bull Racing,11.0,90.519,90.262,
2026_R03,OCO,Haas F1 Team,12.0,90.915,90.309,
2026_R03,HUL,Audi,13.0,90.358,90.387,
2026_R03,LAW,Racing Bulls,14.0,90.657,90.495,
2026_R03,COL,Alpine,15.0,90.931,90.627,
2026_R03,SAI,Williams,16.0,90.927,91.033,
2026_R03,ALB,Williams,17.0,91.088,,
2026_R03,BEA,Haas F1 Team,18.0,91.09,,
2026_R03,PER,Cadillac,19.0,92.206,,
2026_R03,BOT,Cadillac,20.0,92.33,,
2026_R03,ALO,Aston Martin,21.0,92.646,,
2026_R03,STR,Aston Martin,22.0,92.92,,
2026_R04,ANT,Mercedes,1.0,88.653,88.289,87.798
2026_R04,VER,Red Bull Racing,2.0,89.099,88.116,87.964
2026_R04,LEC,Ferrari,3.0,88.938,88.315,88.143
