race_id,driver,lap_number,lap_time_secs,tyre_compound,tyre_age,stint,is_pit_lap
2025_R01,VER,1.0,119.392,INTERMEDIATE,1.0,1.0,0
2025_R01,VER,2.0,,INTERMEDIATE,2.0,1.0,1
2025_R01,VER,3.0,,INTERMEDIATE,3.0,2.0,1
2025_R01,VER,4.0,,INTERMEDIATE,4.0,3.0,1
2025_R01,VER,5.0,143.609,INTERMEDIATE,5.0,4.0,0
2025_R01,VER,6.0,139.654,INTERMEDIATE,6.0,4.0,0
2025_R01,VER,7.0,136.447,INTERMEDIATE,7.0,4.0,0
2025_R01,VER,8.0,96.83,INTERMEDIATE,8.0,4.0,0
2025_R01,VER,9.0,94.315,INTERMEDIATE,9.0,4.0,0
2025_R01,VER,10.0,92.65,INTERMEDIATE,10.0,4.0,0
2025_R01,VER,11.0,92.453,INTERMEDIATE,11.0,4.0,0
2025_R01,VER,12.0,91.591,INTERMEDIATE,12.0,4.0,0
2025_R01,VER,13.0,91.271,INTERMEDIATE,13.0,4.0,0
2025_R01,VER,14.0,90.639,INTERMEDIATE,14.0,4.0,0
2025_R01,VER,15.0,90.328,INTERMEDIATE,15.0,4.0,0
2025_R01,VER,16.0,90.592,INTERMEDIATE,16.0,4.0,0
2025_R01,VER,17.0,93.392,INTERMEDIATE,17.0,4.0,0
2025_R01,VER,18.0,92.169,INTERMEDIATE,18.0,4.0,0
2025_R01,VER,19.0,91.939,INTERMEDIATE,19.0,4.0,0
2025_R01,VER,20.0,91.598,INTERMEDIATE,20.0,4.0,0
2025_R01,VER,21.0,91.177,INTERMEDIATE,21.0,4.0,0
2025_R01,VER,22.0,91.04,INTERMEDIATE,22.0,4.0,0
2025_R01,VER,23.0,90.686,INTERMEDIATE,23.0,4.0,0
2025_R01,VER,24.0,90.978,INTERMEDIATE,24.0,4.0,0
2025_R01,VER,25.0,90.845,INTERMEDIATE,25.0,4.0,0
2025_R01,VER,26.0,90.293,INTERMEDIATE,26.0,4.0,0
2025_R01,VER,27.0,89.731,INTERMEDIATE,27.0,4.0,0
2025_R01,VER,28.0,89.411,INTERMEDIATE,28.0,4.0,0
2025_R01,VER,29.0,89.043,INTERMEDIATE,29.0,4.0,0
2025_R01,VER,30.0,88.237,INTERMEDIATE,30.0,4.0,0
2025_R01,VER,31.0,88.127,INTERMEDIATE,31.0,4.0,0
2025_R01,VER,32.0,88.208,INTERMEDIATE,32.0,4.0,0
2025_R01,VER,33.0,88.046,INTERMEDIATE,33.0,4.0,0
2025_R01,VER,34.0,128.598,INTERMEDIATE,34.0,4.0,1
2025_R01,VER,35.0,124.508,MEDIUM,1.0,5.0,0
2025_R01,VER,36.0,116.334,MEDIUM,2.0,5.0,0
2025_R01,VER,37.0,,MEDIUM,3.0,5.0,0
2025_R01,VER,38.0,137.91,MEDIUM,4.0,5.0,0
2025_R01,VER,39.0,132.714,MEDIUM,5.0,5.0,0
2025_R01,VER,40.0,131.498,MEDIUM,6.0,5.0,0
2025_R01,VER,41.0,132.004,MEDIUM,7.0,5.0,0
2025_R01,VER,42.0,85.317,MEDIUM,8.0,5.0,0
2025_R01,VER,43.0,83.081,MEDIUM,9.0,5.0,0
2025_R01,VER,44.0,86.789,MEDIUM,10.0,5.0,0
2025_R01,VER,45.0,92.874,MEDIUM,11.0,5.0,0
2025_R01,VER,46.0,112.606,MEDIUM,12.0,5.0,1
2025_R01,VER,47.0,127.213,INTERMEDIATE,1.0,6.0,0
2025_R01,VER,48.0,122.406,INTERMEDIATE,2.0,6.0,0
2025_R01,VER,49.0,144.892,INTERMEDIATE,3.0,6.0,0
2025_R01,VER,50.0,142.085,INTERMEDIATE,4.0,6.0,0
2025_R01,VER,51.0,133.879,INTERMEDIATE,5.0,6.0,0
2025_R01,VER,52.0,93.864,INTERMEDIATE,6.0,6.0,0
2025_R01,VER,53.0,90.859,INTERMEDIATE,7.0,6.0,0
2025_R01,VER,54.0,89.1,INTERMEDIATE,8.0,6.0,0
2025_R01,VER,55.0,88.538,INTERMEDIATE,9.0,6.0,0
2025_R01,VER,56.0,87.921,INTERMEDIATE,10.0,6.0,0
2025_R01,VER,57.0,87.4,INTERMEDIATE,11.0,6.0,0
