race_id,session,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,rainfall
2026_R01,R,24.23,36.13,53.97,2.56,0
2026_R02,R,15.57,22.62,55.0,2.19,0
2026_R03,R,18.56,34.14,52.5,1.95,0
2026_R04,R,27.13,37.01,70.45,1.15,1
2026_R05,R,12.85,17.83,71.7,3.02,0
2026_R06,R,23.68,37.98,62.2,0.84,0
2026_R07,R,30.53,50.29,28.87,2.57,0
